Document Name : Outbound Reference Report,,,,,,,,,,,,,,,,
Warehouse : WHS01,,,,,,,,,,,,,,,,
Outbound Reference Report as of 03 Jun 2025 01:58:19 PM,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
No,BU,Job No,Delivery Date,Delivery Note,Section Code,Delivery To,Remark,Package Count,Plan Qty,Plan PID,Allocated PID,Total Package,Picked PID,Packed PID,Loaded PID,Status
1,PL AUTO,OUT202506001EA,04-Jun-2025 14:00:00,1276924-1,,PT SUGITY CREATIVES,SUGITY SEQ 2 TGL 04/06/25 (FACT 1),0,2500,100,0,0,0,0,0,NewJob
2,PL AUTO,OUT202506001E8,04-Jun-2025 09:00:00,1276923-1,,PT SUGITY CREATIVES,SUGITY SEQ 1 TGL 04/06/25 (FACT 1),0,2550,102,0,0,0,0,0,NewJob
3,PL AUTO,OUT202506001E6,04-Jun-2025 23:30:00,1276916-1,,PT SUGITY CREATIVES,SUGITY SEQ 4 TGL 04/06/25 (CBT),0,2500,100,0,0,0,0,0,NewJob
4,PL AUTO,OUT202506001E5,04-Jun-2025 21:00:00,1276919-1,,PT SUGITY CREATIVES,SUGITY SEQ 3 TGL 04/06/25 (CBT),0,675,27,0,0,0,0,0,NewJob
5,PL AUTO,OUT202506001E3,04-Jun-2025 21:00:00,1276915-1,,PT SUGITY CREATIVES,SUGITY SEQ 3 TGL 04/06/25 (CBT),0,2500,100,0,0,0,0,0,NewJob
6,PL AUTO,OUT202506001DD,04-Jun-2025 10:30:00,1276918-1,,PT SUGITY CREATIVES,SUGITY SEQ 2 TGL 04/06/25 (CBT),0,500,20,0,0,0,0,0,NewJob
7,PL AUTO,OUT202506001DB,04-Jun-2025 10:30:00,1276914-1,,PT SUGITY CREATIVES,SUGITY SEQ 2 TGL 04/06/25 (CBT),0,3500,140,0,0,0,0,0,NewJob
8,PL AUTO,OUT202506001C9,04-Jun-2025 08:00:00,1276917-1,,PT SUGITY CREATIVES,SUGITY SEQ 1 TGL 04/06/25 (CBT),0,1675,67,0,0,0,0,0,NewJob
9,PL AUTO,OUT202506001C2,04-Jun-2025 08:00:00,1276913-1,,PT SUGITY CREATIVES,SUGITY SEQ 1 TGL 04/06/25 (CBT),0,3075,123,0,0,0,0,0,NewJob
10,PL AUTO,OUT202506001C0,03-Jun-2025 21:00:00,1276921-1,,PT SUGITY CREATIVES,SUGITY SEQ 3 TGL 03/06/25 (CBT) ADD,0,50,2,0,0,0,0,0,NewJob
