No.,ETA,Devanned Date,Inbound Da,te,ETD,On Hold Date,Release Date,BU,Delivery To,Invoice No.,Container No.,Rack No.,BC No.,BC23 No.,LOT No.,Delivery Note,Robbing Flag,WHS Code,Location,In Job No.,Unpacking Job No ,Outbound Job No,Product Code 1,Product Code 2,XPID,PID,Original Qty,Qty,Status,SPQ,Weight,On Hold Remark,Release Remark,On Hold By,Release By,Quarantine Ref No.,PutAway Date,Unpacking Date,External System,SO No
1,,,7/12/2023,12:27:00,,,,PL AUTO 2,,S235102,JP20230705007,,-,,,,0,WHS01,DN-12-2-1,INB20230700958,,,17050B916,17050B916,,TTLC20230701CB60,7.00,7.00,Putaway,25.000000,27.000000,,,,,,2023-07-12 22:14:15,,TOM2,0003409342
2,,,9/8/2023,4:58:00,,,,PL AUTO 2,,B8-39-TTI-004,TH20230907003,,-,,,,0,WHS01,DH-11-1-1,INB202309007CA,,,rCB660,rCB660,,TTLC202309014639,20.00,20.00,Putaway,20.000000,27.000000,,,,,,2023-09-08 17:04:44,,TOM2,0003491112
3,,,9/8/2023,4:58:00,,,,PL AUTO 2,,B8-39-TTI-004,TH20230907003,,-,,,,0,WHS01,DH-11-1-1,INB202309007CA,,,rCB660,rCB660,,TTLC20230901463B,20.00,20.00,Putaway,20.000000,27.000000,,,,,,2023-09-08 17:04:44,,TOM2,0003491112
4,,,1/5/2024,6:21:00,,,,PL AUTO 2,,S237203,JP20240103002,,-,,,,0,WHS01,DK-12-2-2,INB202401004A6,,,17007B910,ZYTEL FE15004 BK032D,,TTLC202401010D51,25.00,25.00,Putaway,25.000000,25.100000,,,,,,2024-01-05 20:40:31,,WEST,0003540030
5,,,1/5/2024,6:21:00,,,,PL AUTO 2,,S237203,JP20240103002,,-,,,,0,WHS01,DK-12-2-2,INB202401004A6,,,17007B910,ZYTEL FE15004 BK032D,,TTLC202401010D53,25.00,25.00,Putaway,25.000000,25.100000,,,,,,2024-01-05 20:40:31,,WEST,0003540030
6,,,8/20/2024,11:32:00,,,,PL AUTO 2,,SNIC181,JP20240810001,,-,,240716,,0,WHS01,DP-01-1-1,INB20240800F82,,,RM50-131007,RM50-131007,,TTLC2024080368C3,18.00,18.00,Putaway,18.000000,27.000000,,,,,,2024-08-20 20:04:35,,WEST,0003668834
7,,,8/28/2024,3:31:00,,,,PL AUTO 2,,TOY-0000108288,TH20240822002,,-,,,,0,WHS01,DD-05-2-4,INB2024080156D,,,L-1225Z WM70031ZM,L-1225Z WM70031ZM,,TTLC20240804A961,25.00,25.00,Putaway,25.000000,27.000000,,,,,,2024-08-28 15:33:52,,WEST,0003722586
8,,,9/5/2024,12:41:00,,,,PL AUTO 2,,S249995,JP20240830004,,-,,,,0,WHS01,DG-03-2-1,INB2024090044C,,,APF ID 1.5D 6000m,3891210001501,,TTLC20240900E911,"1,500.00","1,500.00",Putaway,500.000000,18.000000,,,,,,2024-09-05 15:28:16,,WEST,0003702594
9,,,9/5/2024,12:41:00,,,,PL AUTO 2,,S249995,JP20240830004,,-,,,,0,WHS01,DG-03-2-1,INB2024090044C,,,APF ID 1.5D 6000m,3891210001501,,TTLC20240900E917,"1,500.00","1,500.00",Putaway,500.000000,18.000000,,,,,,2024-09-05 15:28:16,,WEST,0003702594
10,,,9/13/2024,5:11:00,,,,PL AUTO 2,,S240391,JP20240913005,,-,,,,0,WHS01,DH-01-1-1,INB20240900BD0,,,17059B912,17059B912,,TTLC202409028B3E,17.00,17.00,Putaway,17.000000,27.000000,,,,,,2024-09-13 20:35:37,,WEST,0003701935
11,,,10/16/2024,11:29:00,,,,PL AUTO 2,,S240543,JP20241003001,,-,,,,0,WHS01,EB-02-1-3,INB20241000ED9,,,17081B912,DURACON M90-45 PLT9268N (201B),,TTLC20241002D334,25.00,25.00,Putaway,25.000000,27.000000,,,,,,2024-10-16 11:59:06,,WEST,0003745153
12,,,10/30/2024,10:44:00,,2024-10-31 15:42:33,,SC-2,,3010096675,,,-,,,,0,WHS01,GA-05-2-1,INB20241001A8B,,,PP LA880T NA,PP LA880T NA,,TTLC2024100525D6,25,25,Quarantine,25.000000,26.000000,MATERIAL DAMAGE FROM INCOMING BOCOR ( SOBEK ),,100280,,01/PPR/O3/SUGITY/S2/10/2024,2024-10-30 17:54:06,,TOM2,
13,,,11/2/2024,9:30:00,,2024-11-02 16:33:57,,SC-2,,3010096746,,,-,,,,0,WHS01,GA-05-2-1,INB20241100119,,,PP LA880T NA,PP LA880T NA,,TTLC202411003811,25,25,Quarantine,25.000000,26.000000,MATERIAL DAMAGE FROM INCOMING BOCOR ( SOBEK ),,100280,,02/PPR/O3/SUGITY/S2/11/2024,2024-11-02 15:21:15,,TOM2,
