Outbound Export,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Job No.,Job Type,Owner,Delivery To,Delivery Address,Ref No.,Truck No.,Dispatched Date,ETD,External System,Delivery Note No.,BC No.,Reff. No.,Cycle,Time,Customer PO No.,Section Code,Date Created,Status
LCO2505-0465,By Manual,PT. TORICA INDONESIA,SUMI INDO WIRING_PT. SUMI INDO WIRING SYSTEMS,SUMI INDO WIRING,,,,2025-05-23,,SIWS230525,1000,TRK-05-0490,,-,,-,2025-05-22 08:54,Packed
LCO2505-0466,By Manual,PT. TORICA INDONESIA,SANSYU_PT. SANSYU PRECISION INDONESIA,SANSYU,PU230525 PT.SANSYU KB,,,2025-05-23,,PU230525 PT.SANSYU KB,500,PU230525 PT.SANSYU KB,,-,,-,2025-05-22 09:12,Packed
LCO2505-0467,By Manual,PT. TORICA INDONESIA,LEOCO_PT. LEOCO INDONESIA,LEOCO,LEOCO-230525,,,2025-05-23,,LEOCO-230525,450,LEOCO-230525,,-,-,-,2025-05-22 09:17,Packed
LCO2505-0468,By Manual,PT. TORICA INDONESIA,PASI_PT AUTOCOMP SYSTEMS INDONESIA,PT AUTOCOMP SYSTEMS,250527PD1,,,2025-05-23,,PD230525A,2500,250527PD1,,-,,-,2025-05-22 09:50,Packed
LCO2505-0469,By Manual,PT. TORICA INDONESIA,PASI_PT AUTOCOMP SYSTEMS INDONESIA,PT AUTOCOMP SYSTEMS,250527SG1,,,2025-05-23,,SG230525A,500,250527SG1,,-,-,-,2025-05-22 10:26,Packed
LCO2505-0471,By Manual,PT. TORICA INDONESIA,PASI_PT AUTOCOMP SYSTEMS INDONESIA,PT AUTOCOMP SYSTEMS,250526SA1,,,2025-05-23,,SA230525A,500,250526SA1,,-,-,-,2025-05-22 10:38,Packed
LCO2505-0473,By Manual,PT. TORICA INDONESIA,PASI_PT AUTOCOMP SYSTEMS INDONESIA,PT AUTOCOMP SYSTEMS,250526PM1,,,2025-05-23,,PM230525A,125,250526PM1,,-,,-,2025-05-22 10:52,Packed
LCO2505-0474,By Manual,PT. TORICA INDONESIA,PASI_PT AUTOCOMP SYSTEMS INDONESIA,PT AUTOCOMP SYSTEMS,250526SJ1,,,2025-05-23,,SJ230525A,2500,250526SJ1,,-,,-,2025-05-22 11:02,Packed
LCO2505-0475,By Manual,PT. TORICA INDONESIA,PASI_PT AUTOCOMP SYSTEMS INDONESIA,PT AUTOCOMP SYSTEMS,250526SMD,,,2025-05-23,,SM230525A,2500,250526SMD,,-,,-,2025-05-22 11:07,Packed
LCO2505-0484,By Manual,PT. TORICA INDONESIA,TLID-HANKEN-01_PT HANKEN INDONESIA,HANKEN INDONESIA,HKI-230525,,,2025-05-23,,HKI-230525,450,HKI-230525,,-,,-,2025-05-22 15:16,Packed
LCO2505-0485,By Manual,PT. TORICA INDONESIA,PLASESS_PT. PLASESS INDONESIA,PLASESS INDONESIA,PU230525 PT.PLASESS,,,2025-05-23,,PU230525 PT.PLASESS,450,PU230525 PT.PLASESS,,-,,-,2025-05-22 15:28,Packed
LCO2505-0491,By Manual,PT. TORICA INDONESIA,HITACHI_PT HITACHI CONSTRUCTION MACHINERY INDONESIA,PT HITACHI CONSTRUCT,HCMI-230525,,,2025-05-23,,HCMI-230525,1000,HCMI-230525,,-,,-,2025-05-22 19:14,Packed
LCO2505-0494,By Manual,PT. TORICA INDONESIA,PASI_PT AUTOCOMP SYSTEMS INDONESIA,PT AUTOCOMP SYSTEMS,250526SA2,,,2025-05-26,,SA260525A,500,250526SA2,,-,-,-,2025-05-23 08:52,Packed
LCO2505-0495,By Manual,PT. TORICA INDONESIA,PASI_PT AUTOCOMP SYSTEMS INDONESIA,PT AUTOCOMP SYSTEMS,250528PD1,,,2025-05-26,,PD260525A,450,250528PD1,,-,-,-,2025-05-23 08:58,Packed
LCO2505-0496,By Manual,PT. TORICA INDONESIA,PASI_PT AUTOCOMP SYSTEMS INDONESIA,PT AUTOCOMP SYSTEMS,250526SA2E,,,2025-05-26,,SA260525B,1000,250526SA2E,,-,,-,2025-05-23 09:02,Packed
LCO2505-0497,By Manual,PT. TORICA INDONESIA,PASI_PT AUTOCOMP SYSTEMS INDONESIA,PT AUTOCOMP SYSTEMS,250527SA1,,,2025-05-26,,SA260525C,125,250527SA1,,-,-,-,2025-05-23 09:04,Packed
LCO2505-0498,By Manual,PT. TORICA INDONESIA,PASI_PT AUTOCOMP SYSTEMS INDONESIA,PT AUTOCOMP SYSTEMS,250528SG1,,,2025-05-26,,SG260525A,425,250528SG1,,-,,-,2025-05-23 09:08,Packed
LCO2505-0499,By Manual,PT. TORICA INDONESIA,PASI_PT AUTOCOMP SYSTEMS INDONESIA,PT AUTOCOMP SYSTEMS,250528JG1,,,2025-05-26,,JG260525A,750,250528JG1,,-,,-,2025-05-23 09:11,Packed
LCO2505-0500,By Manual,PT. TORICA INDONESIA,PASI_PT AUTOCOMP SYSTEMS INDONESIA,PT AUTOCOMP SYSTEMS,250527SJ1,,,2025-05-26,,SJ260525A,698,250527SJ1,,-,-,-,2025-05-23 10:19,Packed
LCO2505-0531,By Manual,PT. TORICA INDONESIA,HITACHI_PT HITACHI CONSTRUCTION MACHINERY INDONESIA,PT HITACHI CONSTRUCT,HCMI-260525,,,2025-05-26,,HCMI-260525,1500,HCMI-260525,,-,-,-,2025-05-24 15:25,Pending Pick
LCO2505-0535,By Manual,PT. TORICA INDONESIA,PT. KOMATSU INDONESIA,PT. KOMATSU INDONESIA,KI-260525,,,2025-05-26,,KI-260525,550,KI-260525,,-,,-,2025-05-26 09:20,Pending Pick
